Team_name,Team_AB,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,81W,90W,100W,Playoffs,Pwins,PerfPts
Dodgers,LAD,106,92,104,91,92,94,92,86,82,80,9,7,2,7,33,130.9
Yankees,NYY,103,100,91,84,87,84,85,95,97,95,10,6,2,7,24,126.1
Cardinals,STL,91,88,83,86,100,90,97,88,90,86,10,5,1,6,35,125.4
Red Sox,BOS,84,108,93,93,78,71,97,69,90,89,7,5,1,4,23,113.2
Nationals,WSN,93,82,97,95,83,96,86,98,80,69,8,5,0,5,19,111.4
Giants,SFG,77,73,64,87,84,88,76,94,86,92,6,2,0,4,36,109.1
Astros,HOU,107,103,101,84,86,70,51,55,56,76,5,3,3,4,28,108.4
Rangers,TEX,78,67,78,95,88,67,91,93,96,90,6,5,0,5,20,107.3
Guardians,CLE,93,91,102,94,81,85,92,68,80,69,7,5,1,4,12,106
Cubs,CHC,84,95,92,103,97,73,66,61,71,75,5,4,1,4,19,103.7
Rays,TBR,96,90,80,68,80,77,92,90,91,96,6,6,0,4,8,103
Braves,ATL,97,90,72,68,67,79,96,94,89,91,6,5,0,5,5,99.8
Athletics,OAK,97,97,75,69,68,88,96,94,74,81,6,4,0,5,4,97.9
Tigers,DET,47,64,64,86,74,90,93,88,95,81,6,3,0,4,17,96.7
Brewers,MIL,89,96,86,73,68,82,74,83,96,77,6,2,0,3,11,95.9
Royals,KCR,59,58,80,81,95,89,86,72,71,67,4,1,0,2,22,91.8
Phillies,PHI,81,80,66,71,63,73,73,81,102,97,4,2,1,2,7,90.2
Blue Jays,TOR,67,73,76,89,93,83,74,73,81,85,5,1,0,2,10,89.9
Diamondbacks,ARI,85,82,93,69,79,64,81,81,94,65,6,2,0,2,3,87.8
Mets,NYM,86,77,70,87,90,79,74,74,77,79,3,1,0,2,8,87.8
Pirates,PIT,69,82,75,78,98,88,94,79,72,57,4,2,0,3,3,87.7
Angels,LAA,72,80,80,74,85,98,78,89,86,80,4,1,0,1,0,86.2
Orioles,BAL,54,47,75,89,81,96,85,93,69,66,5,2,0,3,6,86
Reds,CIN,75,67,68,68,64,76,90,97,79,91,3,3,0,3,2,86
Twins,MIN,101,78,85,59,83,70,66,66,63,94,4,2,1,3,0,85.5
Rockies,COL,71,91,87,75,68,66,74,64,73,83,3,1,0,2,1,80.2
Mariners,SEA,68,89,78,86,76,87,71,75,67,61,3,0,0,0,0,77.3
Padres,SDP,70,66,71,68,74,77,76,76,71,90,1,1,0,0,0,75.4
White Sox,CHW,72,62,67,78,76,73,63,85,79,88,2,0,0,0,0,75.3
Marlins,MIA,57,63,77,79,71,77,62,69,72,80,0,0,0,0,0,70.7
