Player,Position,Team,Points
Jalen Hurts,QB,PHI,248.0
Josh Allen,QB,BUF,246.0
Lamar Jackson,QB,BAL,221.0
Patrick Mahomes II,QB,KC,216.0
Anthony Richardson,QB,IND,210.0
C.J. Stroud,QB,HOU,199.0
Dak Prescott,QB,DAL,199.0
Kyler Murray,QB,ARI,198.0
Joe Burrow,QB,CIN,198.0
Jordan Love,QB,GB,192.0
Jayden Daniels,QB,WAS,192.0
Christian McCaffrey,RB,SF,191.0
Brock Purdy,QB,SF,190.0
Caleb Williams,QB,CHI,190.0
Trevor Lawrence,QB,JAC,189.0
Deshaun Watson,QB,CLE,182.0
Justin Herbert,QB,LAC,180.0
Jared Goff,QB,DET,178.0
Kirk Cousins,QB,ATL,176.0
Tua Tagovailoa,QB,MIA,175.0
Baker Mayfield,QB,TB,173.0
Matthew Stafford,QB,LAR,170.0
Aaron Rodgers,QB,NYJ,169.0
Geno Smith,QB,SEA,168.0
Will Levis,QB,TEN,164.0
Sam Darnold,QB,MIN,162.0
Daniel Jones,QB,NYG,159.0
Derek Carr,QB,NO,157.0
Breece Hall,RB,NYJ,154.0
Bijan Robinson,RB,ATL,154.0
Younghoe Koo,K,ATL,154.0
Bo Nix,QB,DEN,150.0
Jonathan Taylor,RB,IND,148.0
Justin Tucker,K,BAL,148.0
Saquon Barkley,RB,PHI,147.0
Bryce Young,QB,CAR,146.0
Harrison Butker,K,KC,145.0
Brandon Aubrey,K,DAL,145.0
Russell Wilson,QB,PIT,144.0
Derrick Henry,RB,BAL,143.0
Jake Elliott,K,PHI,141.0
CeeDee Lamb,WR,DAL,141.0
Jason Myers,K,SEA,140.0
Kyren Williams,RB,LAR,139.0
Tyreek Hill,WR,MIA,139.0
Cameron Dicker,K,LAC,138.0
Ka'imi Fairbairn,K,HOU,137.0
Blake Grupe,K,NO,136.0
Greg Zuerlein,K,NYJ,136.0
Evan McPherson,K,CIN,134.0
Cairo Santos,K,CHI,134.0
Tyler Bass,K,BUF,134.0
Matt Gay,K,IND,134.0
Jake Moody,K,SF,133.0
Brayden Narveson,K,GB,132.0
Jason Sanders,K,MIA,132.0
Jahmyr Gibbs,RB,DET,130.0
Chase McLaughlin,K,TB,129.0
Isiah Pacheco,RB,KC,129.0
Matt Prater,K,ARI,128.0
Dustin Hopkins,K,CLE,127.0
Cam Little,K,JAC,127.0
Jake Bates,K,DET,126.0
Joshua Karty,K,LAR,126.0
Josh Jacobs,RB,GB,126.0
Travis Etienne Jr.,RB,JAC,126.0
De'Von Achane,RB,MIA,123.0
Ja'Marr Chase,WR,CIN,122.0
Joe Mixon,RB,HOU,122.0
Kenneth Walker III,RB,SEA,121.0
Gardner Minshew II,QB,LV,121.0
Chris Boswell,K,PIT,120.0
Nick Folk,K,TEN,120.0
Amon-Ra St. Brown,WR,DET,119.0
Dallas Cowboys,DEF,,119.0
Rachaad White,RB,TB,119.0
Wil Lutz,K,DEN,119.0
Daniel Carlson,K,LV,118.0
James Cook,RB,BUF,118.0
David Montgomery,RB,DET,118.0
Baltimore Ravens,DEF,,118.0
Justin Jefferson,WR,MIN,117.0
A.J. Brown,WR,PHI,115.0
New York Jets,DEF,,115.0
Will Reichard,K,MIN,114.0
Philadelphia Eagles,DEF,,113.0
Eddy Pineiro,K,CAR,113.0
Houston Texans,DEF,,112.0
Puka Nacua,WR,LAR,112.0
Cade York,K,WAS,112.0
Pittsburgh Steelers,DEF,,112.0
Kansas City Chiefs,DEF,,111.0
Deebo Samuel Sr.,WR,SF,111.0
San Francisco 49ers,DEF,,110.0
Cleveland Browns,DEF,,110.0
Garrett Wilson,WR,NYJ,110.0
Graham Gano,K,NYG,110.0
Buffalo Bills,DEF,,110.0
Indianapolis Colts,DEF,,109.0
Miami Dolphins,DEF,,109.0
Alvin Kamara,RB,NO,108.0
Cincinnati Bengals,DEF,,108.0
Raheem Mostert,RB,MIA,108.0
Mike Evans,WR,TB,107.0
Drake Maye,QB,NE,106.0
Los Angeles Chargers,DEF,,106.0
Jacksonville Jaguars,DEF,,105.0
Atlanta Falcons,DEF,,105.0
Green Bay Packers,DEF,,104.0
Washington Commanders,DEF,,104.0
New York Giants,DEF,,104.0
James Conner,RB,ARI,104.0
New Orleans Saints,DEF,,104.0
Aaron Jones,RB,MIN,104.0
Seattle Seahawks,DEF,,104.0
Najee Harris,RB,PIT,103.0
Las Vegas Raiders,DEF,,103.0
Tampa Bay Buccaneers,DEF,,103.0
DK Metcalf,WR,SEA,102.0
Denver Broncos,DEF,,102.0
Joey Slye,K,NE,101.0
Nico Collins,WR,HOU,101.0
Chicago Bears,DEF,,101.0
Zamir White,RB,LV,101.0
Detroit Lions,DEF,,100.0
Brandon Aiyuk,WR,SF,100.0
Marvin Harrison Jr.,WR,ARI,100.0
Chris Olave,WR,NO,99.0
Drake London,WR,ATL,99.0
Minnesota Vikings,DEF,,99.0
Cooper Kupp,WR,LAR,98.0
Los Angeles Rams,DEF,,98.0
DeVonta Smith,WR,PHI,97.0
Tennessee Titans,DEF,,97.0
Tee Higgins,WR,CIN,96.0
DJ Moore,WR,CHI,96.0
Rhamondre Stevenson,RB,NE,96.0
Davante Adams,WR,LV,96.0
Tank Dell,WR,HOU,94.0
D'Andre Swift,RB,CHI,94.0
Tony Pollard,RB,TEN,94.0
Arizona Cardinals,DEF,,93.0
Brian Robinson Jr.,RB,WAS,93.0
Amari Cooper,WR,CLE,93.0
Travis Kelce,TE,KC,93.0
Stefon Diggs,WR,HOU,92.0
Jaylen Waddle,WR,MIA,92.0
New England Patriots,DEF,,92.0
Zay Flowers,WR,BAL,91.0
George Pickens,WR,PIT,91.0
Javonte Williams,RB,DEN,91.0
Rashee Rice,WR,KC,91.0
Calvin Ridley,WR,TEN,91.0
Mark Andrews,TE,BAL,91.0
Sam LaPorta,TE,DET,91.0
Zack Moss,RB,CIN,90.0
Gus Edwards,RB,LAC,90.0
Malik Nabers,WR,NYG,89.0
Carolina Panthers,DEF,,89.0
Devin Singletary,RB,NYG,87.0
Jayden Reed,WR,GB,86.0
Ezekiel Elliott,RB,DAL,85.0
Chris Godwin,WR,TB,84.0
Christian Watson,WR,GB,84.0
Jaylen Warren,RB,PIT,84.0
Michael Pittman Jr.,WR,IND,83.0
Christian Kirk,WR,JAC,83.0
Austin Ekeler,RB,WAS,82.0
Chase Brown,RB,CIN,82.0
Jerome Ford,RB,CLE,81.0
Diontae Johnson,WR,CAR,80.0
George Kittle,TE,SF,80.0
Xavier Worthy,WR,KC,79.0
Courtland Sutton,WR,DEN,79.0
Tyjae Spears,RB,TEN,79.0
Keenan Allen,WR,CHI,79.0
Terry McLaurin,WR,WAS,78.0
Jordan Addison,WR,MIN,77.0
DeAndre Hopkins,WR,TEN,77.0
Nick Chubb,RB,CLE,77.0
Rome Odunze,WR,CHI,75.0
Marquise Brown,WR,KC,75.0
Kyle Pitts,TE,ATL,75.0
Trey McBride,TE,ARI,75.0
Jonathon Brooks,RB,CAR,74.0
Jameson Williams,WR,DET,74.0
Dalton Kincaid,TE,BUF,73.0
Jaxon Smith-Njigba,WR,SEA,73.0
Brian Thomas Jr.,WR,JAC,73.0
Jake Ferguson,TE,DAL,72.0
David Njoku,TE,CLE,72.0
Ladd McConkey,WR,LAC,71.0
J.K. Dobbins,RB,LAC,71.0
Gabe Davis,WR,JAC,71.0
Curtis Samuel,WR,BUF,70.0
Brandin Cooks,WR,DAL,70.0
Tyler Lockett,WR,SEA,69.0
Blake Corum,RB,LAR,69.0
Jerry Jeudy,WR,CLE,69.0
Romeo Doubs,WR,GB,68.0
Chuba Hubbard,RB,CAR,68.0
Joshua Palmer,WR,LAC,68.0
Keon Coleman,WR,BUF,68.0
Ty Chandler,RB,MIN,67.0
Mike Williams,WR,NYJ,67.0
Jakobi Meyers,WR,LV,67.0
Khalil Shakir,WR,BUF,66.0
Tyler Allgeier,RB,ATL,66.0
Evan Engram,TE,JAC,66.0
Rico Dowdle,RB,DAL,65.0
Trey Benson,RB,ARI,65.0
Rashid Shaheed,WR,NO,64.0
Brock Bowers,TE,LV,62.0
Adam Thielen,WR,CAR,62.0
Khalil Herbert,RB,CHI,61.0
Darnell Mooney,WR,ATL,61.0
Antonio Gibson,RB,NE,60.0
John Stephens Jr.,WR,DAL,60.0
Dalton Schultz,TE,HOU,60.0
Dontayvion Wicks,WR,GB,60.0
DeMario Douglas,WR,NE,59.0
Jaleel McLaughlin,RB,DEN,59.0
Dallas Goedert,TE,PHI,59.0
Jacoby Brissett,QB,NE,58.0
Zach Charbonnet,RB,SEA,57.0
Taysom Hill,QB,NO,57.0
DJ Chark Jr.,WR,LAC,56.0
Demarcus Robinson,WR,LAR,56.0
Adonai Mitchell,WR,IND,56.0
Ja'Lynn Polk,WR,NE,56.0
Michael Wilson,WR,ARI,55.0
Pat Freiermuth,TE,PIT,53.0
Bucky Irving,RB,TB,53.0
Jordan Mason,RB,SF,52.0
Rashod Bateman,WR,BAL,51.0
Josh Downs,WR,IND,51.0
Wan'Dale Robinson,WR,NYG,51.0
MarShawn Lloyd,RB,GB,51.0
Hunter Henry,TE,NE,51.0
Cole Kmet,TE,CHI,50.0
Darius Slayton,WR,NYG,50.0
Xavier Legette,WR,CAR,49.0
Josh Reynolds,WR,DEN,48.0
Justin Fields,QB,PIT,48.0
Ray Davis,RB,BUF,48.0
Aidan O'Connell,QB,LV,48.0
Alexander Mattison,RB,LV,48.0
Cade Otton,TE,TB,47.0
Juwan Johnson,TE,NO,47.0
T.J. Hockenson,TE,MIN,47.0
Tyler Conklin,TE,NYJ,46.0
Jalen McMillan,WR,TB,46.0
Jamaal Williams,RB,NO,46.0
Isaiah Likely,TE,BAL,46.0
Tyrone Tracy Jr.,RB,NYG,46.0
Braelon Allen,RB,NYJ,45.0
Luke Musgrave,TE,GB,45.0
Quentin Johnston,WR,LAC,45.0
Marvin Mims Jr.,WR,DEN,44.0
Tank Bigsby,RB,JAC,44.0
Kendrick Bourne,WR,NE,43.0
Jahan Dotson,WR,PHI,43.0
Jalin Hyatt,WR,NYG,42.0
Chigoziem Okonkwo,TE,TEN,42.0
Tim Patrick,WR,DET,42.0
Jalen Tolbert,WR,DAL,41.0
Roman Wilson,WR,PIT,41.0
Noah Fant,TE,SEA,41.0
Tyler Boyd,WR,TEN,41.0
Andrei Iosivas,WR,CIN,41.0
Jermaine Burton,WR,CIN,40.0
Ricky Pearsall,WR,SF,39.0
Ray-Ray McCloud III,WR,ATL,39.0
Tre Tucker,WR,LV,39.0
Jonnu Smith,TE,MIA,38.0
Greg Dortch,WR,ARI,38.0
Troy Franklin,WR,DEN,37.0
Elijah Moore,WR,CLE,37.0
Malachi Corley,WR,NYJ,37.0
Hayden Hurst,TE,LAC,37.0
Mike Gesicki,TE,CIN,36.0
Jaylen Wright,RB,MIA,36.0
Noah Brown,WR,WAS,36.0
Miles Sanders,RB,CAR,35.0
Odell Beckham Jr.,WR,MIA,35.0
Dawson Knox,TE,BUF,35.0
Dyami Brown,WR,WAS,35.0
Luke McCaffrey,WR,WAS,34.0
Jonathan Mingo,WR,CAR,34.0
Zach Ertz,TE,WAS,34.0
Dameon Pierce,RB,HOU,34.0
Roschon Johnson,RB,CHI,33.0
Clyde Edwards-Helaire,RB,KC,33.0
Ben Sinnott,TE,WAS,33.0
Audric Estime,RB,DEN,33.0
KaVontae Turpin,WR,DAL,33.0
Kenneth Gainwell,RB,PHI,33.0
Cedrick Wilson Jr.,WR,NO,33.0
Tucker Kraft,TE,GB,32.0
D'Onta Foreman,RB,CLE,32.0
Theo Johnson,TE,NYG,31.0
Kalif Raymond,WR,DET,31.0
Gerald Everett,TE,CHI,31.0
Samaje Perine,RB,KC,31.0
A.T. Perry,WR,NO,30.0
Greg Dulcich,TE,DEN,30.0
Treylon Burks,WR,TEN,30.0
Alec Pierce,WR,IND,30.0
Trey Palmer,WR,TB,30.0
Ja'Tavion Sanders,TE,CAR,29.0
Kendre Miller,RB,NO,29.0
Kylen Granson,TE,IND,29.0
Justice Hill,RB,BAL,29.0
Zay Jones,WR,ARI,29.0
Colby Parkinson,TE,LAR,28.0
Tyler Higbee,TE,LAR,28.0
Tommy Tremble,TE,CAR,28.0
Van Jefferson,WR,PIT,28.0
Emanuel Wilson,RB,GB,28.0
Michael Mayer,TE,LV,28.0
Cedric Tillman,WR,CLE,27.0
Jauan Jennings,WR,SF,27.0
Jalen Nailor,WR,MIN,27.0
Nelson Agholor,WR,BAL,27.0
Keaton Mitchell,RB,BAL,27.0
Kimani Vidal,RB,LAC,27.0
Calvin Austin III,WR,PIT,27.0
Chris Rodriguez Jr.,RB,WAS,26.0
Taysom Hill,TE,NO,26.0
Isaac Guerendo,RB,SF,26.0
Dalvin Cook,RB,DAL,26.0
Devontez Walker,WR,BAL,26.0
Daniel Bellinger,TE,NYG,26.0
Eric Gray,RB,NYG,25.0
K.J. Osborn,WR,NE,25.0
Trey Sermon,RB,IND,25.0
Ty Johnson,RB,BUF,25.0
KhaDarel Hodge,WR,ATL,24.0
Sam Howell,QB,SEA,24.0
Xavier Gipson,WR,NYJ,23.0
Olamide Zaccheaus,WR,WAS,23.0
Allen Lazard,WR,NYJ,23.0
Will Shipley,RB,PHI,23.0
Javon Baker,WR,NE,22.0
Noah Gray,TE,KC,22.0
Drew Lock,QB,NYG,22.0
Nick Mullens,QB,MIN,22.0
Mo Alie-Cox,TE,IND,22.0
Evan Hull,RB,IND,22.0
Will Dissly,TE,LAC,22.0
Cam Akers,RB,HOU,21.0
Pierre Strong Jr.,RB,CLE,21.0
John Metchie III,WR,HOU,21.0
Emari Demercado,RB,ARI,21.0
JuJu Smith-Schuster,WR,KC,21.0
Cordarrelle Patterson,RB,PIT,21.0
Parker Washington,WR,JAC,21.0
Trenton Irwin,WR,CIN,21.0
Tutu Atwell,WR,LAR,20.0
Brevin Jordan,TE,HOU,19.0
Deuce Vaughn,RB,DAL,19.0
Jarrett Stidham,QB,DEN,19.0
Isaiah Davis,RB,NYJ,19.0
Josh Oliver,TE,MIN,18.0
Brock Wright,TE,DET,18.0
Jameis Winston,QB,CLE,18.0
Michael Penix Jr.,QB,ATL,18.0
Jaheim Bell,TE,NE,18.0
Adam Trautman,TE,DEN,17.0
Durham Smythe,TE,MIA,17.0
Dylan Laube,RB,LV,17.0
Mack Hollins,WR,BUF,17.0
Tyler Goodson,RB,IND,17.0
Jase McClellan,RB,ATL,17.0
Tanner Hudson,TE,CIN,17.0
David Bell,WR,CLE,17.0
Rasheen Ali,RB,BAL,17.0
Jake Bobo,WR,SEA,17.0
Tyquan Thornton,WR,NE,16.0
Jake Browning,QB,CIN,16.0
Donald Parham Jr.,TE,DEN,16.0
D.J. Montgomery,WR,IND,16.0
Justin Watson,WR,KC,16.0
Spencer Rattler,QB,NO,16.0
Jeremy Ruckert,TE,NYJ,15.0
Kyle Juszczyk,RB,SF,15.0
Isaiah Hodgins,WR,NYG,15.0
Rakim Jarrett,WR,TB,15.0
Donovan Peoples-Jones,WR,DET,15.0
Josh Johnson,QB,BAL,15.0
Kevin Harris,RB,NE,15.0
Malik Washington,WR,MIA,15.0
Michael Carter,RB,ARI,15.0
Marquez Valdes-Scantling,WR,BUF,15.0
Hendon Hooker,QB,DET,15.0
Elijah Higgins,TE,ARI,15.0
Johnny Mundt,TE,MIN,15.0
Isaiah Williams,WR,DET,15.0
Mitchell Trubisky,QB,BUF,15.0
Bub Means,WR,NO,15.0
Austin Hooper,TE,NE,15.0
Trent Sherfield Sr.,WR,MIN,14.0
Luke Schoonmaker,TE,DAL,14.0
JaMycal Hasty,RB,NE,14.0
Parris Campbell,WR,PHI,14.0
Ryan Flournoy,WR,DAL,14.0
Robert Tonyan,TE,MIN,14.0
Skylar Thompson,QB,MIA,13.0
Jawhar Jordan,RB,HOU,13.0
Carson Wentz,QB,KC,13.0
Jamari Thrash,WR,CLE,13.0
Ainias Smith,WR,PHI,13.0
Joshua Dobbs,QB,SF,13.0
Brandon Powell,WR,MIN,13.0
Jimmy Garoppolo,QB,LAR,13.0
Cooper Rush,QB,DAL,13.0
Deneric Prince,RB,MIA,13.0
Carson Steele,RB,KC,13.0
Jacob Cowing,WR,SF,13.0
Josh Whyle,TE,TEN,13.0
Darnell Washington,TE,PIT,13.0
Ronnie Rivers,RB,LAR,13.0
Davis Mills,QB,HOU,13.0
Kenny Pickett,QB,PHI,13.0
Tyson Bagent,QB,CHI,13.0
Malik Willis,QB,GB,13.0
Marcus Rosemy-Jacksaint,WR,PHI,13.0
Taylor Heinicke,QB,LAC,13.0
Braxton Berrios,WR,MIA,13.0
Tahj Washington,WR,MIA,13.0
Brandon Johnson,WR,PIT,13.0
Clayton Tune,QB,ARI,13.0
Johnny Wilson,WR,PHI,13.0
Nikko Remigio,WR,KC,12.0
KJ Hamler,WR,BUF,12.0
Quez Watkins,WR,PIT,12.0
Davis Allen,TE,LAR,12.0
Foster Moreau,TE,NO,12.0
Joe Flacco,QB,IND,12.0
Tyrod Taylor,QB,NYJ,12.0
Trayveon Williams,RB,CIN,12.0
Devaughn Vele,WR,DEN,12.0
Hunter Luepke,RB,DAL,12.0
Jordan Akins,TE,CLE,12.0
Devin Culp,TE,TB,12.0
Craig Reynolds,RB,DET,12.0
Michael Woods II,WR,CLE,12.0
Tanner McLachlan,TE,CIN,12.0
Tejhaun Palmer,WR,ARI,12.0
Marcus Mariota,QB,WAS,12.0
Nick Westbrook-Ikhine,WR,TEN,12.0
Mac Jones,QB,JAC,12.0
Jordan Whittington,WR,LAR,12.0
Allen Robinson II,WR,DET,12.0
Isaiah McKenzie,WR,NYG,12.0
Ben Skowronek,WR,PIT,12.0
Will Mallory,TE,IND,12.0
Pharaoh Brown,TE,SEA,12.0
Kyle Trask,QB,TB,12.0
Mason Rudolph,QB,TEN,11.0
Tyler Scott,WR,CHI,11.0
Andy Dalton,QB,CAR,11.0
AJ Barner,TE,SEA,11.0
Stone Smartt,TE,LAC,11.0
D'Ernest Johnson,RB,JAC,11.0
Justyn Ross,WR,KC,11.0
Travis Vokolek,TE,ARI,11.0
Jared Wiley,TE,KC,11.0
Ameer Abdullah,RB,LV,11.0
Jack Stoll,TE,PHI,11.0
Equanimeous St. Brown,WR,NO,11.0
Connor Heyward,TE,PIT,11.0
Jeremy McNichols,RB,WAS,11.0
Brenton Strange,TE,JAC,11.0
Drew Ogletree,TE,IND,11.0
Blake Watson,RB,DEN,10.0
Cameron Latu,TE,CLE,10.0
Kenny McIntosh,RB,SEA,10.0
Derius Davis,WR,LAC,10.0
Jalen Brooks,WR,DAL,10.0
Jamison Crowder,WR,WAS,10.0
Albert Okwuegbunam Jr.,TE,PHI,10.0
Cade Stover,TE,HOU,10.0
Casey Washington,WR,ATL,10.0
Ian Thomas,TE,CAR,10.0
Erick All Jr.,TE,CIN,10.0
Skyy Moore,WR,KC,10.0
Tip Reiman,TE,ARI,10.0
David Moore,WR,CAR,10.0
Dallin Holker,TE,NO,10.0
Drew Sample,TE,CIN,10.0
Jeff Wilson Jr.,RB,MIA,9.0
Lucas Krull,TE,DEN,9.0
MyCole Pruitt,TE,PIT,9.0
Sean Tucker,RB,TB,9.0
Payne Durham,TE,TB,9.0
Carlos Washington Jr.,RB,ATL,9.0
Julius Chestnut,RB,TEN,9.0
Jalen Reagor,WR,NE,9.0
Quintin Morris,TE,BUF,9.0
Luke Farrell,TE,JAC,9.0
Dare Ogunbowale,RB,HOU,9.0
Jordan Mims,RB,NO,9.0
Grant Calcaterra,TE,PHI,8.0
Zach Pascal,WR,ARI,8.0
Ross Dwelley,TE,ATL,8.0
Devin Duvernay,WR,JAC,8.0
Tyler Huntley,QB,BAL,8.0
Mecole Hardman Jr.,WR,KC,8.0
Robert Woods,WR,HOU,8.0
Brenden Rice,WR,LAC,8.0
Ashton Dulin,WR,IND,8.0
Kayshon Boutte,WR,NE,8.0
Easton Stick,QB,LAC,8.0
Mason Tipton,WR,NO,8.0
Harrison Bryant,TE,LV,8.0
Zach Wilson,QB,DEN,8.0
Chris Moore,WR,ARI,8.0
Jaren Hall,QB,SEA,8.0
Xavier Hutchinson,WR,HOU,8.0
Brenden Bates,TE,NYJ,8.0
Deonte Harty,WR,BAL,8.0
Jalen Guyton,WR,LV,8.0
Tommy DeVito,QB,NYG,8.0
Joe Milton III,QB,NE,8.0
Robbie Chosen,WR,MIA,8.0
Anthony Gould,WR,IND,8.0
Jason Brownlee,WR,NYJ,8.0
Ronnie Bell,WR,SF,8.0
Cody Schrader,RB,LAR,8.0
Case Keenum,QB,HOU,8.0
Trey Lance,QB,DAL,7.0
Peyton Hendershot,TE,KC,7.0
Hunter Long,TE,LAR,7.0
Michael Pratt,QB,TB,7.0
Ben Sims,TE,GB,7.0
Jordan Travis,QB,NYJ,7.0
Charlie Jones,WR,CIN,7.0
Boston Scott,RB,PIT,7.0
Marcedes Lewis,TE,CHI,7.0
Chris Conley,WR,SF,7.0
Julian Hill,TE,MIA,7.0
Bo Melton,WR,GB,7.0
Tim Jones,WR,JAC,7.0
Kyle Allen,QB,PIT,6.0
Sean Clifford,QB,GB,6.0
Mike White,QB,BUF,6.0
Laviska Shenault Jr.,WR,SEA,6.0
Bailey Zappe,QB,KC,6.0
Israel Abanikanda,RB,NYJ,6.0
John Bates,TE,WAS,6.0
John Stephens Jr.,TE,DAL,6.0
Bryce Ford-Wheaton,WR,NYG,6.0
Brady Russell,TE,SEA,6.0
Nate Adkins,TE,DEN,6.0
Avery Williams,RB,ATL,6.0
Ko Kieft,TE,TB,6.0
Malik Heath,WR,GB,6.0
Jake Haener,QB,NO,6.0
River Cracraft,WR,MIA,6.0
Charlie Kolar,TE,BAL,6.0
Stetson Bennett,QB,LAR,5.0
Dareke Young,WR,SEA,5.0
Sam Hartman,QB,WAS,5.0
Scotty Miller,WR,PIT,5.0
Sione Vaki,RB,DET,5.0
Tanner McKee,QB,PHI,5.0
Dorian Thompson-Robinson,QB,CLE,5.0
Sam Ehlinger,QB,IND,5.0
Raheem Blackshear,RB,CAR,5.0
Alec Ingold,RB,MIA,5.0
Charlie Woerner,TE,ATL,5.0
Britain Covey,WR,PHI,5.0
Eric Saubert,TE,SF,5.0
Hassan Haskins,RB,LAC,4.0
Malik Davis,RB,DAL,4.0
Patrick Taylor Jr.,RB,SF,4.0
Anthony Firkser,TE,NYJ,4.0
Tre'Quan Smith,WR,DET,4.0
Parker Hesse,TE,DET,4.0
Nick Muse,TE,MIN,4.0
Reggie Gilliam,RB,BUF,3.0
Gunner Olszewski,WR,NYG,3.0
Terrace Marshall Jr.,WR,SF,3.0
Travis Homer,RB,CHI,3.0
Emani Bailey,RB,KC,3.0
Dee Eskridge,WR,MIA,3.0
DJ Turner,WR,LV,3.0
Patrick Ricard,RB,BAL,3.0
Adam Prentice,RB,NO,3.0
Velus Jones Jr.,WR,CHI,3.0
Chris Manhertz,TE,NYG,3.0
Michael Burton,RB,DEN,3.0
Tylan Wallace,WR,BAL,3.0
Irvin Charles,WR,NYJ,3.0
Kenny Yeboah,TE,NYJ,3.0
DeeJay Dallas,RB,ARI,3.0
Josiah Deguara,TE,JAC,3.0
Nyheim Hines,RB,CLE,2.0
Tyler Johnson,WR,LAR,2.0
Keilan Robinson,RB,JAC,2.0
Teagan Quitoriano,TE,HOU,2.0
Montrell Washington,WR,KC,2.0
Simi Fehoko,WR,LAC,2.0
Cody White,WR,SEA,2.0
Stephen Carlson,TE,CHI,2.0
Tommy Hudson,TE,NO,2.0
Trishton Jackson,WR,MIN,2.0
C.J. Ham,RB,MIN,2.0
Kristian Wilkerson,WR,LV,2.0
Jake Tonges,TE,SF,2.0
Jha'Quan Jackson,WR,TEN,2.0
Keaontay Ingram,RB,KC,2.0
Myles Gaskin,RB,MIN,2.0
La'Mical Perine,RB,GB,2.0
Byron Pringle,WR,WAS,2.0
David Sills V,WR,DEN,1.0
DeAndre Carter,WR,CHI,1.0
Devin Leary,QB,BAL,1.0
Mitchell Wilcox,TE,NE,1.0
Tyrion Davis-Price,RB,PHI,1.0
